key,place_name,admin_name1,latitude,longitude,accuracy
IN/577593,Kadrinayakanahalli,Karnataka,14.2473,76.3193,
IN/577601,Rajarama Colony,Karnataka,14.0746,75.8228,
IN/577602,Yantrapura,Karnataka,14.0746,75.8228,
IN/580001,Tejaswinagar,Karnataka,16.2928,76.0442,
IN/580008,Mahatma,Karnataka,16.2928,76.0442,
IN/580020,Ganeshpet,Karnataka,16.2928,76.0442,
IN/580024,Old Hubli,Karnataka,16.2928,76.0442,
IN/580211,Hallihal,Karnataka,16.2928,76.0442,
IN/580212,Adargunchi,Karnataka,16.2928,76.0442,
IN/580215,Yarguppi,Karnataka,16.2928,76.0442,
IN/581101,Adur,Karnataka,14.7667,75.25,4
IN/581105,Garag,Karnataka,15.5833,74.95,4
IN/581128,Agadi,Karnataka,15.175,75.1,
IN/581129,Jagabet,Karnataka,15.175,75.1,
IN/581132,Devagiri,Karnataka,15.175,75.1,
IN/581134,Kabbur (Dharwad),Karnataka,15.175,75.1,
IN/581137,Yelgach,Karnataka,15.175,75.1,
IN/581142,Itagi Rbn,Karnataka,15.175,75.1,
IN/581145,Chalgeri,Karnataka,15.175,75.1,
IN/581146,Kadur (Dharwad),Karnataka,15.175,75.1,
IN/581153,Kaginelli,Karnataka,15.175,75.1,
IN/581156,Kadarmandalgi,Karnataka,15.175,75.1,
IN/581157,Saidenur,Karnataka,15.175,75.1,
IN/581160,Yalivigi,Karnataka,15.175,75.1,
